technique_key,romaji,japanese,kana,english,family,capture_profile,focus_joints,level,tier,classifier_label,search_term,aliases,sources,notes
haishu_uchi,haishu-uchi,背手打ち,はいしゅうち,back-hand strike,strike,punch,upper,jodan,extended,karate back hand strike,karate haishu uchi back hand strike,,jkf,struck with the back of the open hand
shotei_uchi,shotei-uchi,掌底打ち,しょうていうち,palm-heel strike,strike,punch,upper,jodan,extended,karate palm heel strike,karate shotei uchi palm heel strike,teisho uchi,jkf;shotokan_nz,struck with the heel of the palm with the fingers pulled back
age_uke,age-uke,揚げ受け,あげうけ,rising block,block,punch,upper,jodan,core,karate rising block,karate age uke rising block,jodan age uke,jkf;wikipedia_shotokan;yale;shotokan_nz,forearm sweeps up and outward above the forehead
soto_uke,soto-uke,外受け,そとうけ,outside forearm block,block,punch,upper,chudan,core,karate outside forearm block,karate soto uke outside block,chudan soto uke,jkf;wikipedia_shotokan;yale;shotokan_nz,forearm travels from outside in across the body with a wrist rotation
uchi_uke,uchi-uke,内受け,うちうけ,inside forearm block,block,punch,upper,chudan,core,karate inside forearm block,karate uchi uke inside block,chudan uchi uke,jkf;wikipedia_shotokan;yale;shotokan_nz,forearm travels from inside out with a wrist rotation
gedan_barai,gedan-barai,下段払い,げだんばらい,downward sweeping block,block,punch,upper,gedan,core,karate downward sweeping block,karate gedan barai down block,gedan barai uke;down block,jkf;wikipedia_shotokan;yale;shotokan_nz,forearm sweeps down and across to clear a kick below the belt
shuto_uke,shuto-uke,手刀受け,しゅとううけ,knife-hand block,block,punch,upper,chudan,core,karate knife hand block,karate shuto uke knife hand block,,jkf;wikipedia_shotokan;yale;shotokan_nz,open-hand block usually made from kokutsu dachi with the other hand at the solar plexus
morote_uke,morote-uke,諸手受け,もろてうけ,augmented forearm block,block,punch,upper,chudan,extended,karate augmented forearm block,karate morote uke augmented block,,wikipedia_shotokan,uchi uke supported by the second fist at the blocking elbow
juji_uke,juji-uke,十字受け,じゅうじうけ,X block,block,punch,upper,gedan,extended,karate x block,karate juji uke x block,juuji uke,yale;shotokan_nz,both wrists crossed to trap the incoming attack
kakiwake_uke,kakiwake-uke,掻き分け受け,かきわけうけ,wedge block,block,punch,upper,chudan,extended,karate wedge separating block,karate kakiwake uke wedge block,,yale,two-handed block that pushes a double grab apart
nagashi_uke,nagashi-uke,流し受け,ながしうけ,sweeping deflection block,block,punch,upper,jodan,extended,karate sweeping deflection block,karate nagashi uke flowing block,,yale,redirects the attack past the body instead of meeting it
ude_uke,ude-uke,腕受け,うでうけ,forearm block,block,punch,upper,chudan,extended,karate forearm block,karate ude uke forearm block,,yale;wikipedia_shotokan,generic forearm block; soto uke and uchi uke are its two directions
mae_geri,mae-geri,前蹴り,まえげり,front kick,kick,kick,lower,chudan,core,karate front kick,karate mae geri front kick,mae geri keage;mae geri kekomi,jkf;wikipedia_shotokan;yale;shotokan_nz,knee chambered high then snapped out; struck with the ball of the foot
mawashi_geri,mawashi-geri,回し蹴り,まわしげり,roundhouse kick,kick,kick,lower,jodan,core,karate roundhouse kick,karate mawashi geri roundhouse kick,,jkf;wikipedia_shotokan;yale;shotokan_nz,kick arcs in from the side; the supporting foot pivots so the hip can turn over
yoko_geri_keage,yoko-geri-keage,横蹴上げ,よこげりけあげ,side snap kick,kick,kick,lower,jodan,core,karate side snap kick,karate yoko geri keage side snap kick,,wikipedia_shotokan;yale;shotokan_nz,snapped up and out with the foot edge then recovered on the same path
yoko_geri_kekomi,yoko-geri-kekomi,横蹴込み,よこげりけこみ,side thrust kick,kick,kick,lower,chudan,core,karate side thrust kick,karate yoko geri kekomi side thrust kick,,yale,driven straight out from the hip; struck with the foot edge
ushiro_geri,ushiro-geri,後ろ蹴り,うしろげり,back kick,kick,kick,lower,chudan,core,karate back kick,karate ushiro geri back kick,,jkf;wikipedia_shotokan;yale;shotokan_nz,the body turns away and the heel drives straight back
ura_mawashi_geri,ura-mawashi-geri,裏回し蹴り,うらまわしげり,hook kick,kick,kick,lower,jodan,core,karate hook kick,karate ura mawashi geri hook kick,reverse roundhouse kick,englishkarate_kihon,extends past the target then hooks back with the heel
hiza_geri,hiza-geri,膝蹴り,ひざげり,knee strike,kick,kick,lower,chudan,core,karate knee strike,karate hiza geri knee strike,hiza ate,jkf;wikipedia_shotokan;shotokan_nz,close-range strike driving the bent knee up into the target
mikazuki_geri,mikazuki-geri,三日月蹴り,みかづきげり,crescent kick,kick,kick,lower,jodan,extended,karate crescent kick,karate mikazuki geri crescent kick,mika zuki geri,wikipedia_shotokan;jkf,swings on a crescent arc; often struck into the opposite palm in kihon
ushiro_mawashi_geri,ushiro-mawashi-geri,後ろ回し蹴り,うしろまわしげり,spinning hook kick,kick,kick,lower,jodan,extended,karate spinning hook kick,karate ushiro mawashi geri spinning hook kick,,wikipedia_ja_karate,a full turn away from the target before the heel arcs back through it
kakato_geri,kakato-geri,踵蹴り,かかとげり,axe kick,kick,kick,lower,jodan,extended,karate axe kick,karate kakato geri axe heel kick,,shotokan_nz,the leg lifts high then drops so the heel falls onto the target
tobi_geri,tobi-geri,飛び蹴り,とびげり,jumping kick,kick,kick,lower,jodan,extended,karate jumping kick,karate tobi geri jumping kick,,jkf,any kick released after a jump; adds reach and speed at the cost of balance
tobi_mae_geri,tobi-mae-geri,飛び前蹴り,とびまえげり,jumping front kick,kick,kick,lower,jodan,extended,karate jumping front kick,karate tobi mae geri jumping front kick,,wikipedia_shotokan,mae geri delivered in the air off the opposite knee lift
